
Epoch 0 --> 0/50, i= 500/1200, -3.00dB/90Hz, Tr_BER=0.517985, L_CE=0.424083, Now=13:56:44
Epoch 0 --> 0/50, i= 510/1200, -5.00dB/90Hz, Tr_BER=0.518021, L_CE=0.423168, Now=13:56:44
Epoch 0 --> 0/50, i= 520/1200, -4.00dB/90Hz, Tr_BER=0.518054, L_CE=0.422288, Now=13:56:45
Epoch 0 --> 0/50, i= 530/1200, -3.00dB/90Hz, Tr_BER=0.518148, L_CE=0.421541, Now=13:56:45
Epoch 0 --> 0/50, i= 540/1200, -4.00dB/90Hz, Tr_BER=0.518199, L_CE=0.420847, Now=13:56:46
Epoch 0 --> 0/50, i= 550/1200, -4.00dB/90Hz, Tr_BER=0.518239, L_CE=0.420105, Now=13:56:46
Epoch 0 --> 0/50, i= 560/1200, -4.00dB/90Hz, Tr_BER=0.518286, L_CE=0.419420, Now=13:56:46
Epoch 0 --> 0/50, i= 570/1200, -2.00dB/90Hz, Tr_BER=0.518336, L_CE=0.418682, Now=13:56:47
Epoch 0 --> 0/50, i= 580/1200, -4.00dB/90Hz, Tr_BER=0.518330, L_CE=0.417985, Now=13:56:47
Epoch 0 --> 0/50, i= 590/1200, -4.00dB/90Hz, Tr_BER=0.518315, L_CE=0.417243, Now=13:56:48
Epoch 0 --> 0/50, i= 600/1200, -4.00dB/90Hz, Tr_BER=0.518341, L_CE=0.416642, Now=13:56:48
Epoch 0 --> 0/50, i= 610/1200, -4.00dB/90Hz, Tr_BER=0.518328, L_CE=0.415886, Now=13:56:49
Epoch 0 --> 0/50, i= 620/1200, -3.00dB/90Hz, Tr_BER=0.518330, L_CE=0.415240, Now=13:56:49
Epoch 0 --> 0/50, i= 630/1200, -4.00dB/90Hz, Tr_BER=0.518322, L_CE=0.414598, Now=13:56:50
Epoch 0 --> 0/50, i= 640/1200, -4.00dB/90Hz, Tr_BER=0.518341, L_CE=0.414061, Now=13:56:50
Epoch 0 --> 0/50, i= 650/1200, -3.00dB/90Hz, Tr_BER=0.518350, L_CE=0.413542, Now=13:56:51
Epoch 0 --> 0/50, i= 660/1200, -3.00dB/90Hz, Tr_BER=0.518348, L_CE=0.412948, Now=13:56:51
Epoch 0 --> 0/50, i= 670/1200, -4.00dB/90Hz, Tr_BER=0.518315, L_CE=0.412322, Now=13:56:52
Epoch 0 --> 0/50, i= 680/1200, -4.00dB/90Hz, Tr_BER=0.518306, L_CE=0.411767, Now=13:56:52
Epoch 0 --> 0/50, i= 690/1200, -4.00dB/90Hz, Tr_BER=0.518286, L_CE=0.411261, Now=13:56:52
